School,2022,2019,Change,Town,Population,Is Rural
Ramsay High School,90,91,,Birmingham,197575,
Locust Fork Elementary,90,88,,Locust Fork,1198,
McKenzie High School,90,86,,McKenzie,503,
White Plains Elementary School,90,91,,Anniston,21157,
Straughn Middle School,90,91,,Andalusia,8715,
Plainview School,90,85,,Rainsville,5604,
Holtville Elementary School,90,92,,Deatsville,1730,
Redland Elementary School,90,84,,Wetumpka,7190,
Slocomb Elementary School,90,91,,Slocomb,2094,
Gulf Shores High School,90,,,Gulf Shores,15736,
Guntersville Elementary School,90,93,,Guntersville,8713,
Hoover High School,90,92,,Hoover,92589,
Hampton Cove Middle School,90,90,,Owens Cross Roads,2635,
Weatherly Heights Elementary School,90,91,,Huntsville,216963,
North Sand Mountain School,90,90,,Bryant,,
Bob Jones High School,90,95,,Madison,58357,
James Clemens High School,90,94,,Madison,58357,
Central School,90,93,,,,
Endeavor Elementary School,90,87,,Harvest,,
New Hope Elementary School,90,91,,New Hope,2891,
Riverton Intermediate School,90,88,,Huntsville,216963,
Denton Magnet School of Technology,90,85,,Mobile,184952,
Falkville Elementary School,90,88,,Falkville,1147,
Piedmont High School,90,92,,Piedmont,4810,
Saraland Middle School/Adams Campus,90,93,,Saraland,16319,
Robert E. Lee Elementary,90,87,,Satsuma,6785,
Oak Mountain High School,90,94,,Birmingham,197575,
Wilsonville Elementary School,90,96,,Wilsonville,1873,
Moody Elementary School,90,93,,Moody,13563,
Springville Elementary School,90,97,,Springville,4935,
Walker Elementary School,90,93,,Northport,31009,
Cordova Elementary School,90,92,,Cordova,1681,
Julian Newman Elementary School,89,82,,Athens,27027,
Auburn Junior High School,89,94,,Auburn,78564,
Daniel Pratt Elementary School,89,93,,Prattville,38286,
Orange Beach Elementary School,89,99,,Orange Beach,8347,
W J Carroll Intermediate School,89,86,,Daphne,28777,
Christian School,89,91,,,,
Fruithurst Elementary School,89,83,,Fruithurst,239,
Straughn Elementary School,89,90,,Andalusia,8715,
GW Long Elementary School,89,91,,Skipperville,,
Eclectic Elementary School,89,92,,Eclectic,1224,
Hillcrest Elementary School,89,91,,Enterprise,29395,
Rucker Boulevard Elementary School,89,87,,Enterprise,29395,
Mitchell Elementary School,89,89,,Gadsden,33769,
Mulkey Elementary School,89,91,,Geneva,4185,
Geneva County Elementary School,89,91,,Hartford,2651,
Crestline Elementary School,89,93,,Hartselle,15549,
Homewood Middle School,89,96,,Homewood,26054,
Ashford Elementary School,89,84,,Ashford,2247,
Webb Elementary School,89,93,,Webb,1283,
Mountain Gap Middle School,89,87,,Huntsville,216963,
Bridgeport Elementary School,89,86,,Bridgeport,2257,
Pisgah High School,89,89,,Pisgah,682,
Maddox Intermediate School,89,89,,Jasper,14354,
Mount Olive Elementary School,89,90,,Mt Olive,,
Brooks Elementary School,89,89,,Killen,1040,
Lexington School,89,90,,Lexington,737,
