School,2022,2019,Change,Town,Population,Is Rural
Hokes Bluff High School,68,85,,370 (2020–2021),,
Robinson Elementary School,68,72,,Birmingham,197575,
W. E. Striplin Elementary School,68,72,,Gadsden,33769,
Whitesburg Middle School,68,75,,Huntsville,216963,
Brighton School,68,71,,Bessemer,25615,
Irondale Middle School,68,67,,Birmingham,197575,
Jefferson County Virtual School ,68,,,,,
Minor High School,68,73,,Adamsville,4294,
CF Vigor High School,68,72,,Mobile,184952,
Collins-Rhodes Elementary School,68,78,,Eight Mile,,
Mattie T Blount High School,68,74,,Prichard,19097,
Carr Middle School,68,69,,Montgomery,198665,
Park Crossing High School,68,77,,Montgomery,198665,
Robert C Hatch High School,68,83,,Uniontown,2037,
Phenix City Intermediate School,68,80,,Phenix City,38428,
Selma High School,68,68,,Selma,17625,
Charles Henderson High School,68,73,,Troy,17609,
J E Hobbs Elementary School,68,69,,Camden,1832,
Acceleration Day and Evening Academy,67,59,,Mobile,184952,
Charles F Hard Elementary School,67,71,,Bessemer,25615,
Glen Iris Elementary School,67,70,,Birmingham,197575,
Martha Gaskins K-5,67,79,,Birmingham,197575,
Minor Elementary School,67,69,,Birmingham,197575,
Wilkerson Middle School,67,75,,Birmingham,197575,
Lafayette Eastside Elementary School,67,72,,La Fayette,2588,
Daleville Middle School,67,,,Daleville,4862,
William R Martin Middle School,67,80,,Valley Grande,4079,
Dothan Preparatory Academy,67,,,Dothan,71175,
W S Neal High School,67,81,,East Brewton,2266,
Tharptown Elementary School,67,82,,Russellville,10789,
Chalkville Elementary School,67,80,,Center Point,16137,
Minor Community School,67,79,,Birmingham,197575,
U.W. Clemon Elementary School,67,74,,Adamsville,4294,
Lanett Senior High School,67,73,,Lanett,6773,
Calloway Smith Middle School,67,71,,Mobile,184952,
CL Scarborough Model Middle School,67,74,,Mobile,184952,
Elizabeth Fonde Elementary School,67,70,,Mobile,184952,
Katherine H Hankins Middle School,67,75,,Theodore,,
Lanier Senior High School,67,70,,Montgomery,198665,
Meadowlane Elementary School,67,83,,Phenix City,38428,
Clark Elementary School,67,73,,Selma,17625,
Sheffield High School,67,82,,Sheffield,9337,
Brookwood Middle School,67,77,,Vance,2145,
Wilcox Central High School,67,71,,Camden,1832,
Anniston High School,66,67,,Anniston,21157,
Barbour County Primary School,66,57,,Clayton,2273,
Ossie Ware Mitchell Middle School,66,67,,Birmingham,197575,
Crossville Middle School,66,69,,Crossville,1810,
Hidden Lake Primary School,66,89,,Dothan,71175,
Duck Springs Elementary School,66,80,,Attalla,5839,
Lakewood Elementary School,66,71,,Phenix City,38428,
Pleasant Grove Elementary School,66,76,,Pleasant Grove,9495,
Hazlewood Elementary School,66,76,,Town Creek,1053,
Tuskegee Institute Middle School,66,77,,Tuskegee,8870,
Marengo High School,66,75,,Dixons Mills,,
John L Leflore Magnet School,66,68,,Mobile,184952,
Mobile County Training Middle School,66,71,,Mobile,184952,
Semmes Middle School,66,73,,Semmes,5209,
Highland Gardens Elementary School,66,63,,Montgomery,198665,
King Elementary,66,69,,,,
Edgewood Elementary School,66,70,,Birmingham,197575,
Holt Elementary School,66,67,,Tuscaloosa,100618,
Curry High School,66,78,,Jasper,14354,
Foley Middle School,65,81,,Foley,22063,
Barrett Elementary School,65,73,,Birmingham,197575,
Huffman High School-Magnet,65,66,,Birmingham,197575,
Inglenook School,65,73,,,,
Chickasaw Middle School,65,58,,Chickasaw,6395,
Central High School of Clay County,65,76,,Lineville,2474,
Beverlye Intermediate School,65,88,,Dothan,71175,
Highlands Elementary School,65,70,,,,
Morris Middle School,65,,,Huntsville,216963,
i3 Academy Phase 1 (formerly i3 Academy),65,,,Birmingham,197575,
Center Point Elementary School,65,63,,Center Point,16137,
Erwin Intermediate School,65,65,,Center Point,16137,
George P Austin Junior High School,65,70,,Linden,1887,
Chastang-Fournier Middle School,65,60,,Mobile,184952,
Maryvale Elementary School,65,67,,Mobile,184952,
Westview Elementary School,65,85,,Phenix City,38428,
Sophia P Kingston Elementary School,65,71,,Selma,17625,
Evelyn D Houston Elementary School,65,70,,Talladega,15621,
Bush Hills STEAM Academy,64,62,,Birmingham,197575,
Wylam Elementary School,64,73,,Birmingham,197575,
South Highlands Middle School,64,63,,Union Springs,3314,
Keith Middle-High School,64,69,,Orrville,145,
Morris Slingluff Elementary School,64,77,,Dothan,71175,
Glen Oaks Elementary School,64,71,,Fairfield,9832,
Vina High School,64,82,,Vina,325,
Robert Brown Middle School,64,61,,Eutaw,2859,
Hueytown High School,64,74,,Hueytown,16531,
Lillie B Williamson High School,64,62,,Mobile,184952,
J F Shields High School,64,80,,Beatrice,203,
Davis-Emerson Middle School,64,72,,Cottondale,,
Richard Arrington Elementary,63,,,Birmingham,197575,
Saks Elementary School,63,84,,Anniston,21157,
Repton Junior High School,63,67,,Repton,234,
Greensboro High School,63,70,,Greensboro,2195,
Rolling Hills Elementary School,63,65,,Huntsville,216963,
Lanett Junior High School,63,79,,Lanett,6773,
DC Wolfe School,63,65,,Shorter,380,
Midfield Elementary School,63,64,,Midfield,5115,
Fitzpatrick Elementary School,63,74,,Montgomery,198665,
Talladega High School,63,69,,Talladega,15621,
Central Elementary School,63,67,,Huntsville,216963,
ABC Elementary,63,67,,Alberta,,
James L Cowart Elementary School,62,90,,Athens,27027,
Green Acres Middle School,62,57,,Birmingham,197575,
Hudson K-Eight School,62,69,,Birmingham,197575,
Parker High School,62,69,,Birmingham,197575,
Brantley Elementary School,62,63,,Selma,17625,
Salem Elementary School,62,77,,Orrville,145,
Escambia County High School,62,74,,Atmore,8542,
Westlawn Middle School,62,65,,Tuscaloosa,100618,
Barbour County Intermediate School,61,59,,Louisville,391,
Bessemer City Middle School,61,67,,Bessemer,25615,
Jonesboro Elementary School,61,62,,Bessemer,25615,
Wenonah High School,61,67,,Birmingham,197575,
Tipton Durant Middle School,61,57,,Selma,17625,
Greene County High School,61,68,,Eutaw,2859,
James Dawson Elementary,61,74,,Huntsville,216963,
Linden High School,61,74,,Linden,1887,
Monroeville Middle School,61,70,,Monroeville,5841,
C L Salter Elementary School,61,74,,Talladega,15621,
Holt High School,61,68,,Tuscaloosa,100618,
McIntosh Elementary School,61,76,,McIntosh,201,
Autaugaville School,60,75,,Autaugaville,792,
Westhills Elementary School,60,77,,Bessemer,25615,
Hayes K-8,60,55,,Birmingham,197575,
Greenville High School,60,68,,Greenville,7263,
Central Elementary School,60,74,,Huntsville,216963,
Amelia L. Johnson High School,60,69,,Thomaston,325,
George Hall Elementary School,60,71,,Mobile,184952,
Capitol Heights Middle School,60,57,,Montgomery,198665,
Dozier Elementary School,60,59,,Montgomery,198665,
Highland Avenue Elementary School,60,78,,Montgomery,198665,
Jefferson Davis High School,60,61,,Montgomery,198665,
Payne Elementary School,60,83,,Selma,17625,
Livingston Junior High School,60,64,,Livingston,3153,
Sumter Central High School,60,70,,York,2415,
Central Park Elementary School,59,66,,Birmingham,197575,
WE Putnam Middle School-Magnet,59,64,,Birmingham,197575,
Ronald McNair 7-8,59,63,,Huntsville,216963,
Center Point High School,59,66,,Center Point,16137,
Goodwyn Middle School,59,60,,Montgomery,198665,
Morningview Elementary School,59,63,,Montgomery,198665,
Tarrant High School,59,65,,Birmingham,197575,
Jones Valley Middle School,58,57,,Birmingham,197575,
Woodlawn High School-Magnet,58,59,,Birmingham,197575,
Dothan City Virtual School,58,,,,,
Sonnie Hereford Elementary School,58,60,,Huntsville,216963,
LEAD Academy Building B,58,,,,,
Brewbaker Middle School,58,61,,Montgomery,198665,
Dannelly Elementary School,58,63,,Montgomery,198665,
Hemphill Elementary School,57,63,,Birmingham,197575,
Houston County Virtual Academy,57,,,,,
Midfield High School,57,62,,Birmingham,197575,
Booker T Washington Middle School,57,73,,Mobile,184952,
Davis Elementary School,57,57,,Montgomery,198665,
Lee High School,57,59,,,,
Tarrant Intermediate School,57,63,,Birmingham,197575,
Barbour County High School,56,58,,Clayton,2273,
Jackson-Olin High School,56,61,,Birmingham,197575,
Smith Middle School,56,63,,Birmingham,197575,
Girard Primary School,56,61,,Dothan,71175,
Escambia County Middle School,56,76,,Atmore,8542,
Southlawn Middle School,56,56,,Montgomery,198665,
Saints Virtual Academy,56,,,,,
York West End Junior High School,56,72,,York,2415,
Tarrant Elementary School,56,63,,Birmingham,197575,
Southside High School,55,65,,Southside,9465,
Bessemer City High School,54,57,,Bessemer,25615,
Inspire Virtual Academy,54,,,La Fayette,2588,
Faine Elementary School,54,58,,Dothan,71175,
Girard Intermediate School,54,68,,Dothan,71175,
Pillans Middle School,54,67,,Mobile,184952,
Dunbar-Ramer School,54,67,,Ramer,,
Bruce K Craig Elementary School,53,75,,Selma,17625,
Chisholm Elementary School,53,61,,Montgomery,198665,
Southside Primary School,52,72,,Selma,17625,
Chapman Middle School,51,,,Huntsville,216963,
LEAD Academy Building A (formerly LEAD Academy),51,,,Montgomery,198665,
The Pathway,51,,,Mobile,184952,
Bellingrath Middle School,51,57,,Montgomery,198665,
Nixon Elementary School,50,64,,Montgomery,198665,
