NAME,POPESTIMATE2021
Calera city (pt.),88
Clanton city,8762
Jemison city,2650
Maplesville town,641
Thorsby town,2093
Balance of Chilton County,31040
Choctaw County,12533
Butler town,1870
Gilbertown town,727
Lisman town,421
Needham town,73
Pennington town,330
Silas town,371
Toxey town,144
Balance of Choctaw County,8597
Clarke County,22760
Coffeeville town,262
Fulton town,221
Grove Hill town,1757
Jackson city,4644
Thomasville city,3548
Balance of Clarke County,12328
Clay County,14190
Ashland town,1969
Lineville city,2474
Balance of Clay County,9747
Cleburne County,15103
Edwardsville town,205
Fruithurst town,239
Heflin city,3400
Ranburne town,420
Balance of Cleburne County,10839
Coffee County,54174
Elba city,3401
Enterprise city (pt.),28769
Kinston town,587
New Brockton town,1437
Balance of Coffee County,19980
Colbert County,57474
Cherokee town,963
Leighton town,662
Littleville town,1040
Muscle Shoals city,16618
Sheffield city,9337
Tuscumbia city,9068
Balance of Colbert County,19786
Conecuh County,11328
Castleberry town,480
Evergreen city,3370
McKenzie town (pt.),11
Repton town,234
Balance of Conecuh County,7233
Coosa County,10450
Goodwater town,1281
Kellyton town,129
Rockford town,351
Balance of Coosa County,8689
Covington County,37524
Andalusia city,8715
Babbie town,633
Carolina town,290
Florala town,1906
Gantt town,198
Heath town,238
Horn Hill town,209
Libertyville town,109
Lockhart town,445
Onycha town,168
Opp city,6653
Red Level town,431
River Falls town,485
Sanford town,258
Balance of Covington County,16786
Crenshaw County,13083
Brantley town,807
Dozier town,287
Glenwood town,152
Luverne city,2680
Petrey town,66
Rutledge town,350
Balance of Crenshaw County,8741
Cullman County,89496
Arab city (pt.),28
Baileyton town,660
Berlin town,498
Colony town,270
Cullman city,18635
Dodge City town,562
Fairview town,548
Garden City town (pt.),534
Good Hope city,2548
Hanceville city,3215
Holly Pond town,857
South Vinemont town,574
West Point town,601
Balance of Cullman County,59966
Dale County,49342
Ariton town,655
Clayhatchee town,470
Daleville city,4862
Dothan city (pt.),1535
Enterprise city (pt.),626
Grimes town,576
Level Plains town,1821
Midland City town,2264
Napier Field town,409
Newton town,1607
Ozark city,14313
Pinckard town,587
Balance of Dale County,19617
Dallas County,37619
Orrville town,145
Selma city,17625
Valley Grande city,4079
Balance of Dallas County,15770
DeKalb County,71813
Collinsville town (pt.),2017
Crossville town,1810
Fort Payne city,14834
Fyffe town,963
Geraldine town,910
Hammondville town,429
Henagar city,2298
Ider town,739
Lakeview town,160
Mentone town,321
Pine Ridge town,264
Powell town,882
Rainsville city,5604
Sand Rock town (pt.),31
Shiloh town,323
Sylvania town,1800
Valley Head town,582
Balance of DeKalb County,37846
Elmore County,89304
Coosada town,1257
Deatsville town,1730
Eclectic town,1224
Elmore town,1335
Millbrook city (pt.),16821
Prattville city (pt.),1979
Tallassee city (pt.),3185
Wetumpka city,7190
Balance of Elmore County,54583
Escambia County,36699
Atmore city,8542
Brewton city,5261
East Brewton city,2266
Flomaton town,1452
Pollard town,123
Riverview town,161
Balance of Escambia County,18894
Etowah County,103162
Altoona town (pt.),910
Attalla city,5839
Boaz city (pt.),1106
Gadsden city,33769
Glencoe city (pt.),5394
Hokes Bluff city,4435
Rainbow City city,10154
Reece City town,610
Ridgeville town,84
Sardis City town (pt.),1792
Southside city (pt.),9295
Walnut Grove town,773
Balance of Etowah County,29001
Fayette County,16148
Belk town,188
Berry town,1204
Fayette city,4185
Glen Allen town (pt.),373
Gu-Win town (pt.),0
Winfield city (pt.),724
Balance of Fayette County,9474
Franklin County,32013
Hodges town,263
Phil Campbell town,988
Red Bay city,3184
Russellville city,10789
Vina town,325
Balance of Franklin County,16464
Geneva County,26701
Black town,226
Coffee Springs town,208
Geneva city,4185
Hartford city,2651
Malvern town,1543
Samson city,1860
Slocomb city,2094
Taylor town (pt.),7
Balance of Geneva County,13927
Greene County,7629
Boligee town,297
Eutaw town,2859
Forkland town,444
Union town,176
Balance of Greene County,3853
Hale County,14754
Akron town,226
Greensboro city,2195
Moundville town (pt.),1812
Newbern town,131
Balance of Hale County,10390
Henry County,17459
Abbeville city,2379
Dothan city (pt.),71175
Haleburg town,115
Headland city,5145
Newville town,549
Balance of Henry County,9270
Houston County,107458
Ashford town,2247
Avon town,466
Columbia town,690
Cottonwood town,1046
Cowarts town,1953
Dothan city (pt.),69639
Gordon town,292
Kinsey town,2243
Madrid town,265
Rehobeth town,1821
Taylor town (pt.),2261
Webb town,1283
Balance of Houston County,23252
Jackson County,52773
Bridgeport city,2257
Dutton town,333
Hollywood town,918
Hytop town,443
Langston town,268
Paint Rock town,181
Pisgah town,682
Pleasant Groves town,426
Scottsboro city,15640
Section town,763
Skyline town,837
Stevenson city,1960
Woodville town,748
Balance of Jackson County,27317
Jefferson County,667820
Adamsville city,4294
Argo town (pt.),60
Bessemer city,25615
Birmingham city (pt.),195669
Brighton city,2299
Brookside town,1232
Cardiff town,52
Center Point city,16137
Clay city (pt.),10310
County Line town (pt.),95
Fairfield city,9832
Fultondale city,9789
Gardendale city,16444
Graysville city,1915
Helena city (pt.),2537
Homewood city,26054
Hoover city (pt.),65721
Hueytown city,16531
Irondale city,13518
Kimberly city,3946
Lake View town (pt.),315
Leeds city (pt.),10079
Lipscomb city,2049
Maytown town,312
Midfield city,5115
Morris town,2254
Mountain Brook city,22158
Mulga town,777
North Johns town,127
